Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,0,0,2,2,9,17,13,8,4,
1985,0,1,0,0,6,9,8,11,12,7,
1986,0,0,0,1,4,5,16,10,17,11,
1987,0,0,1,5,4,8,16,15,9,8,
1988,0,0,1,4,5,6,5,11,9,10,
1989,0,0,0,3,6,8,16,17,6,5,
1990,0,0,0,4,8,9,9,17,9,6,
1991,0,0,0,0,5,17,21,19,10,5,
1992,0,0,2,6,13,15,12,23,12,5,
1993,0,1,0,5,16,7,33,28,17,14,
1994,0,1,1,7,16,14,28,25,24,8,
1995,0,0,3,4,15,21,40,19,19,13,
1996,0,0,2,3,11,29,31,28,15,13,
1997,0,0,1,7,18,26,44,31,19,8,
1998,0,0,1,7,15,38,34,32,23,14,
1999,0,0,2,5,21,40,55,45,23,19,
2000,0,0,4,5,23,27,47,35,17,16,
2001,0,0,1,6,8,26,39,44,17,19,
2002,0,0,4,7,12,46,56,36,24,18,
2003,0,1,1,7,8,42,56,39,31,9,
2004,0,0,0,6,15,40,62,55,22,26,
2005,0,2,6,6,26,42,60,64,33,31,
2006,0,0,2,8,12,26,79,71,40,33,
2007,0,2,5,4,14,31,55,69,49,31,
2008,0,2,6,6,17,45,69,66,43,32,
2009,0,2,8,11,22,40,83,77,52,44,
2010,0,3,5,9,24,51,87,99,53,47,
2011,0,5,4,12,25,36,96,95,77,53,
2012,0,3,5,11,23,44,85,90,60,61,
2013,0,3,3,6,19,44,96,101,57,49,
2014,0,2,4,17,32,71,72,103,64,52,
2015,0,1,12,12,30,61,99,94,64,64,
