Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,0,0,0,0,0,0,1,1,5,
1985,0,0,0,0,0,0,0,0,0,4,
1986,0,0,0,0,0,0,0,0,0,1,
1987,0,0,0,0,0,0,1,0,1,12,
1988,0,0,0,0,0,0,1,0,0,8,
1989,0,0,0,0,0,0,0,0,3,5,
1990,0,0,0,1,0,0,0,0,0,6,
1991,0,0,0,0,0,0,0,0,1,5,
1992,0,0,0,0,0,0,0,2,0,4,
1993,0,0,0,0,0,0,0,2,2,6,
1994,0,0,0,0,0,1,0,2,4,7,
1995,0,0,0,0,0,0,0,1,0,6,
1996,0,0,0,0,0,0,1,1,0,10,
1997,0,0,0,0,0,0,2,0,1,12,
1998,0,0,0,0,0,0,0,1,4,6,
1999,0,0,0,0,0,0,2,2,4,9,
2000,0,0,0,1,0,0,1,4,3,9,
2001,0,0,0,0,0,0,3,1,4,13,
2002,0,0,0,0,0,0,0,1,3,6,
2003,0,0,0,0,0,0,0,1,1,5,
2004,0,0,0,0,0,0,1,2,3,17,
2005,0,0,0,0,0,1,0,5,3,13,
2006,0,0,0,1,0,0,1,2,3,14,
2007,0,0,0,0,0,0,1,1,4,13,
2008,0,0,0,0,0,0,0,1,3,27,
2009,0,0,0,0,0,0,2,1,5,21,
2010,0,0,1,0,0,0,2,2,2,27,
2011,0,0,1,0,0,0,1,4,5,42,
2012,0,0,0,0,0,1,1,5,10,45,
2013,0,0,0,0,0,1,2,1,6,27,
2014,0,0,0,0,1,0,0,1,4,40,
2015,0,0,0,0,0,0,2,2,5,64,
