Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,49,718,350,56,9,2,0,0,0,0,
1985,52,671,304,44,7,1,1,0,0,0,
1986,47,488,242,39,4,1,1,0,0,0,
1987,46,513,241,43,5,1,1,0,0,0,
1988,40,451,246,54,7,3,1,0,0,0,
1989,46,418,232,55,6,1,2,0,0,0,
1990,56,364,274,63,4,3,1,0,0,0,
1991,68,321,246,66,7,6,1,1,0,0,
1992,68,341,234,76,22,6,1,1,0,0,
1993,57,276,187,74,15,3,0,0,1,0,
1994,55,227,154,66,14,3,0,0,0,0,
1995,45,221,143,66,14,3,1,0,0,0,
1996,50,231,127,45,18,3,1,0,0,0,
1997,41,222,103,43,13,3,0,0,0,0,
1998,50,237,152,49,17,8,1,0,0,0,
1999,60,214,148,52,16,4,2,0,0,0,
2000,67,205,136,28,9,5,1,1,0,0,
2001,71,180,120,31,18,6,2,0,0,0,
2002,49,155,94,32,16,7,2,1,1,0,
2003,40,136,66,22,11,6,4,6,2,1,
2004,29,144,64,38,19,14,6,5,2,1,
2005,37,133,64,49,36,43,29,6,5,1,
2006,34,119,66,40,41,28,18,4,4,0,
2007,43,128,74,32,32,30,20,12,6,3,
2008,37,116,62,36,36,27,11,8,4,1,
2009,39,102,60,43,40,19,19,8,5,1,
2010,50,107,56,26,22,15,8,5,2,1,
2011,41,99,36,32,21,7,14,6,3,0,
2012,35,80,38,27,18,9,7,3,0,5,
2013,38,77,44,15,13,11,2,4,1,1,
2014,19,64,24,17,15,3,3,4,3,0,
2015,12,51,24,17,15,9,3,1,1,0,
