Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,2,3,4,5,6,8,4,2,1,
1985,0,1,1,3,6,4,12,5,2,0,
1986,0,0,3,6,7,6,17,8,5,0,
1987,0,1,1,7,1,8,9,3,1,1,
1988,0,2,2,8,6,10,9,4,1,0,
1989,0,1,5,8,10,12,6,4,2,3,
1990,0,0,6,5,9,13,9,5,2,0,
1991,0,0,6,6,7,17,10,7,5,1,
1992,0,1,8,5,12,16,12,4,2,0,
1993,1,1,2,9,20,16,17,10,2,2,
1994,0,5,8,4,13,12,24,13,4,4,
1995,0,3,2,11,17,12,19,7,9,0,
1996,0,0,6,8,14,14,15,10,7,0,
1997,0,2,2,10,13,17,19,17,3,1,
1998,0,5,9,20,17,22,23,16,1,4,
1999,0,3,10,12,17,17,23,19,7,4,
2000,0,4,5,12,14,23,17,10,5,3,
2001,0,7,14,17,13,17,17,10,7,4,
2002,1,4,11,12,19,29,24,17,10,3,
2003,2,5,12,18,24,24,31,15,5,1,
2004,2,10,13,23,21,32,22,14,7,3,
2005,5,17,18,38,67,43,33,16,18,3,
2006,4,15,22,43,46,64,40,20,11,3,
2007,6,19,29,33,53,50,49,31,11,4,
2008,4,7,26,42,53,64,43,29,13,3,
2009,5,11,31,44,64,64,52,37,24,5,
2010,2,23,36,51,54,52,53,43,11,2,
2011,3,14,39,50,62,90,77,47,22,5,
2012,0,22,38,55,65,76,60,41,17,10,
2013,1,16,31,44,52,76,57,39,23,6,
2014,3,6,26,47,62,92,64,50,22,4,
2015,1,7,29,62,63,88,64,55,22,5,
