Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,0,2,3,3,6,2,4,4,2,5,
1985,0,0,0,1,5,4,7,4,1,4,
1986,0,0,2,2,6,2,11,7,3,1,
1987,0,1,1,2,5,4,8,4,2,12,
1988,0,0,0,2,4,11,10,5,3,8,
1989,0,0,1,4,5,9,5,9,2,5,
1990,0,0,3,4,7,7,6,8,5,6,
1991,0,0,5,3,8,9,5,12,7,5,
1992,0,1,1,8,7,12,5,16,4,4,
1993,0,1,4,3,9,8,14,9,7,6,
1994,0,4,4,3,7,13,8,6,4,7,
1995,0,1,3,6,7,17,13,7,11,6,
1996,0,0,4,4,8,8,13,14,5,10,
1997,0,0,2,6,5,5,8,13,7,12,
1998,0,1,5,4,11,12,14,11,11,6,
1999,0,0,4,5,11,10,19,18,17,9,
2000,0,0,3,9,13,17,16,15,9,9,
2001,0,6,5,4,13,10,19,21,10,13,
2002,0,1,4,6,8,15,18,26,16,6,
2003,1,2,4,9,10,12,9,15,15,5,
2004,1,3,6,6,14,13,26,25,15,17,
2005,1,5,10,18,22,34,31,28,13,13,
2006,0,6,8,14,19,34,33,20,27,14,
2007,3,7,7,21,20,29,31,29,22,13,
2008,1,5,7,16,28,46,32,25,28,27,
2009,1,4,16,20,30,49,44,34,38,21,
2010,1,13,11,24,35,32,47,33,24,27,
2011,0,9,21,31,47,56,53,41,28,42,
2012,5,6,15,26,41,78,61,38,43,45,
2013,1,5,18,29,43,67,49,34,35,27,
2014,0,4,15,26,37,50,52,55,38,40,
2015,0,6,15,32,35,57,64,43,36,64,
