Year,U20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-60,60,
1984,49,32,3,0,0,0,0,0,0,0,
1985,52,17,1,0,0,0,0,0,0,0,
1986,47,15,1,0,0,0,0,0,0,0,
1987,46,17,1,0,0,0,0,0,0,0,
1988,40,18,0,0,0,0,0,0,0,0,
1989,46,13,1,0,0,0,0,0,0,0,
1990,56,12,0,0,0,0,0,0,0,0,
1991,68,18,3,0,0,0,0,0,0,0,
1992,68,16,5,0,0,0,0,0,0,0,
1993,57,27,5,0,0,0,0,0,0,0,
1994,55,21,3,0,0,0,0,0,0,0,
1995,45,15,1,0,0,0,0,0,0,0,
1996,50,21,0,0,0,0,0,0,0,0,
1997,41,14,0,0,0,0,0,0,0,0,
1998,50,14,0,0,0,0,0,0,0,0,
1999,60,24,0,0,0,0,0,0,0,0,
2000,67,17,1,0,0,0,0,0,0,0,
2001,71,24,1,1,0,0,0,0,0,0,
2002,49,12,1,0,0,0,0,0,0,0,
2003,40,10,1,0,0,0,0,0,0,0,
2004,29,11,1,0,0,0,0,0,0,0,
2005,37,10,1,0,0,0,0,0,0,0,
2006,34,18,0,1,0,0,0,0,0,0,
2007,43,9,3,1,0,0,0,0,0,0,
2008,37,18,1,2,0,0,0,0,0,0,
2009,39,15,0,1,1,0,0,0,0,0,
2010,50,10,1,0,2,0,0,0,0,0,
2011,41,13,3,0,1,1,0,0,0,0,
2012,35,10,0,0,0,1,0,0,0,0,
2013,38,13,2,0,0,0,0,0,0,0,
2014,19,16,1,1,0,0,0,0,0,0,
2015,12,11,1,0,0,0,0,0,0,0,
