Year,SB,PS,U
1984,865,1015,468
1985,832,946,435
1986,688,804,413
1987,902,1002,531
1988,1011,1255,542
1989,973,1184,564
1990,1050,1323,670
1991,1269,1628,688
1992,1386,1875,774
1993,1594,1857,880
1994,1715,1960,905
1995,1853,2164,1051
1996,1778,2119,1147
1997,1916,2412,1325
1998,1706,2042,1165
1999,1987,2443,1488
2000,1607,2104,1363
2001,1629,2093,1276
2002,1701,2457,1462
2003,1554,2406,1472
2004,1272,2793,1380
2005,1438,2818,1430
2006,1408,3040,1486
2007,1353,2983,1511
2008,1189,3005,1549
2009,1296,3181,1682
2010,982,2639,1608
2011,1117,2984,1766
2012,1094,3037,1787
2013,963,2666,1704
2014,974,2943,1680
2015,1024,3147,1848
