Year,SB,PS,U
1984,14137,1966,561
1985,12887,1809,533
1986,10545,1484,407
1987,12473,1880,537
1988,12709,2087,588
1989,11710,1950,569
1990,11544,2109,634
1991,11393,2170,657
1992,11574,2358,661
1993,10702,2273,681
1994,9903,2234,648
1995,9200,2145,696
1996,8503,1990,623
1997,8433,2072,709
1998,7260,1771,664
1999,7547,1850,675
2000,6001,1441,611
2001,5702,1435,625
2002,5101,1386,702
2003,4277,1192,587
2004,4105,1348,573
2005,4494,1493,602
2006,4086,1500,558
2007,3812,1329,598
2008,3656,1420,572
2009,3643,1535,624
2010,3228,1277,611
2011,3391,1327,670
2012,3353,1355,593
2013,2469,1159,622
2014,2402,1196,627
2015,2113,1160,505
