Year,SB,PS,U
1984,1966,1015,145
1985,1809,946,154
1986,1484,804,133
1987,1880,1002,203
1988,2087,1255,246
1989,1950,1184,264
1990,2109,1323,279
1991,2170,1628,323
1992,2358,1875,359
1993,2273,1857,400
1994,2234,1960,452
1995,2145,2164,517
1996,1990,2119,555
1997,2072,2412,652
1998,1771,2042,644
1999,1850,2443,851
2000,1441,2104,789
2001,1435,2093,912
2002,1386,2457,1066
2003,1192,2406,1105
2004,1348,2793,1164
2005,1493,2818,1289
2006,1500,3040,1471
2007,1329,2983,1582
2008,1420,3005,1740
2009,1535,3181,2007
2010,1277,2639,1891
2011,1327,2984,2129
2012,1355,3037,2211
2013,1159,2666,2114
2014,1196,2943,2490
2015,1024,3147,1848
