Year,SB,PS,U
1984,14137,865,72
1985,12887,832,81
1986,10545,688,85
1987,12473,902,103
1988,12709,1011,134
1989,11710,973,133
1990,11544,1050,173
1991,11393,1269,203
1992,11574,1386,209
1993,10702,1594,241
1994,9903,1715,300
1995,9200,1853,297
1996,8503,1778,301
1997,8433,1916,348
1998,7260,1706,372
1999,7547,1987,426
2000,6001,1607,415
2001,5702,1629,438
2002,5101,1701,551
2003,4277,1554,496
2004,4105,1272,458
2005,4494,1438,485
2006,4086,1408,538
2007,3812,1353,598
2008,3656,1189,622
2009,3643,1296,638
2010,3228,982,625
2011,3391,1117,732
2012,3353,1094,755
2013,2469,963,743
2014,2402,974,760
2015,2113,1160,505
