Year,SB,PS,U
1984,561,468,743
1985,533,435,818
1986,407,413,816
1987,537,531,1004
1988,588,542,1210
1989,569,564,1199
1990,634,670,1409
1991,657,688,1654
1992,661,774,1829
1993,681,880,2064
1994,648,905,2126
1995,696,1051,2630
1996,623,1147,2919
1997,709,1325,3433
1998,664,1165,3347
1999,675,1488,4294
2000,611,1363,4219
2001,625,1276,4168
2002,702,1462,4831
2003,587,1472,5002
2004,573,1380,4998
2005,602,1430,4993
2006,558,1486,5674
2007,598,1511,6087
2008,572,1549,6636
2009,624,1682,7454
2010,611,1608,7369
2011,670,1766,8724
2012,593,1787,8949
2013,622,1704,8740
2014,627,1680,9791
2015,642,2490,9615
