Year,C,B,T,H,O,N,
1984,307,9235,25,11,4,670,
1985,353,8103,42,8,8,615,
1986,279,6995,31,12,7,544,
1987,355,8647,36,11,7,731,
1988,352,8879,39,16,6,734,
1989,360,8669,35,11,15,767,
1990,398,8742,61,20,14,822,
1991,432,9181,102,17,31,720,
1992,462,9979,111,21,16,805,
1993,470,9498,85,17,10,1166,
1994,475,8841,84,26,7,1196,
1995,495,8636,113,21,10,1200,
1996,449,7943,134,34,7,1148,
1997,501,8387,173,25,10,1331,
1998,474,6960,151,23,10,1161,
1999,569,7856,229,40,15,1318,
2000,541,6288,218,23,11,1151,
2001,522,6200,268,33,15,1093,
2002,555,6146,366,35,27,1036,
2003,470,5747,365,24,38,846,
2004,504,6244,336,36,30,679,
2005,498,6575,356,32,66,712,
2006,474,6538,367,41,88,744,
2007,568,6454,329,40,73,702,
2008,554,6632,373,39,77,755,
2009,642,7172,353,47,90,840,
2010,583,6213,387,47,97,704,
2011,671,6891,468,46,106,871,
2012,666,6803,418,60,138,883,
2013,675,5756,381,59,98,852,
2014,711,5918,424,57,96,962,
2015,697,5726,374,64,133,1000,
