Year,C,B,T,H,O,N,
1984,452,389,27,9,6,2852,
1985,391,449,51,4,6,2464,
1986,320,409,31,3,5,1863,
1987,438,549,36,5,7,2455,
1988,436,634,45,3,10,2670,
1989,456,575,33,13,13,2385,
1990,464,678,40,13,7,2581,
1991,445,637,75,6,27,2455,
1992,473,673,68,8,16,2653,
1993,522,1016,44,10,8,2406,
1994,514,1164,71,13,16,2540,
1995,541,1255,66,10,12,2728,
1996,557,1286,72,18,10,2652,
1997,652,1386,92,14,21,2976,
1998,608,1233,87,23,16,2559,
1999,660,1338,115,17,13,3149,
2000,645,1152,98,12,15,2601,
2001,526,1171,121,17,23,2393,
2002,531,1167,187,20,20,2706,
2003,514,1132,185,23,24,2624,
2004,439,857,187,26,50,2450,
2005,482,1000,197,19,61,2587,
2006,544,1021,232,14,71,2845,
2007,524,1029,246,19,78,2665,
2008,522,1066,252,29,64,2848,
2009,582,1133,274,31,76,3009,
2010,594,952,227,31,68,2868,
2011,620,1113,294,33,118,3208,
2012,651,1012,255,36,137,3433,
2013,652,986,243,46,82,3341,
2014,693,1076,273,30,103,3822,
2015,690,1028,248,35,92,3963,
