Year,C,B,T,H,O,N,
1984,15,15,1527,1,0,46,
1985,32,25,1492,1,2,68,
1986,19,29,917,1,0,39,
1987,26,46,885,0,4,43,
1988,24,32,964,2,0,59,
1989,16,28,484,1,0,45,
1990,21,45,335,2,1,48,
1991,43,131,506,2,5,78,
1992,40,86,421,3,3,90,
1993,30,70,196,1,0,56,
1994,24,97,183,2,1,50,
1995,19,109,184,2,0,67,
1996,28,130,181,1,1,62,
1997,23,185,198,2,1,108,
1998,35,155,183,2,0,84,
1999,42,257,248,2,0,120,
2000,35,255,234,2,0,99,
2001,49,285,335,5,0,110,
2002,65,363,524,3,4,150,
2003,74,386,535,4,3,151,
2004,87,327,807,3,7,127,
2005,77,312,786,6,20,129,
2006,90,362,877,9,15,160,
2007,100,362,887,2,10,169,
2008,91,338,846,4,13,139,
2009,104,348,947,8,17,155,
2010,98,309,796,12,18,153,
2011,123,414,904,8,12,177,
2012,104,363,859,13,16,181,
2013,105,296,768,8,14,180,
2014,118,341,934,12,14,215,
2015,105,300,820,4,19,178,
