Year,C,B,T,H,O,N,
1984,2381,307,15,23,28,452,
1985,2419,353,32,48,38,391,
1986,2135,279,19,24,26,320,
1987,2459,355,26,41,25,438,
1988,2781,352,24,47,33,436,
1989,2565,360,16,47,20,456,
1990,2709,398,21,41,31,464,
1991,2763,432,43,51,34,445,
1992,2754,462,40,45,34,473,
1993,2788,470,30,42,26,522,
1994,2633,475,24,40,38,514,
1995,2711,495,19,48,38,541,
1996,2758,449,28,43,43,557,
1997,2855,501,23,43,39,652,
1998,2818,474,35,48,52,608,
1999,3053,569,42,56,41,660,
2000,2857,541,35,53,48,645,
2001,2728,522,49,44,56,526,
2002,2898,555,65,48,69,531,
2003,2745,470,74,47,59,514,
2004,2530,504,87,45,74,439,
2005,2625,498,77,44,92,482,
2006,2674,474,90,52,88,544,
2007,2812,568,100,61,94,524,
2008,2961,554,91,56,95,522,
2009,3248,642,104,52,69,582,
2010,3163,583,98,50,102,594,
2011,3477,671,123,58,99,620,
2012,3671,666,104,66,99,651,
2013,3411,675,105,60,110,652,
2014,3593,711,118,52,104,693,
2015,3688,697,105,68,119,690,
