Year,C,B,T,H,O,N,
1984,37,11,1,793,23,9,
1985,52,8,1,756,14,4,
1986,37,12,1,700,22,3,
1987,60,11,0,740,20,5,
1988,48,16,2,774,22,3,
1989,67,11,1,822,29,13,
1990,52,20,2,852,23,13,
1991,69,17,2,835,27,6,
1992,75,21,3,768,34,8,
1993,77,17,1,786,27,10,
1994,89,26,2,766,17,13,
1995,80,21,2,699,37,10,
1996,96,34,1,778,32,18,
1997,82,25,2,647,36,14,
1998,102,23,2,665,37,23,
1999,97,40,2,595,33,17,
2000,84,23,2,575,44,12,
2001,80,33,5,562,40,17,
2002,83,35,3,603,44,20,
2003,74,24,4,528,33,23,
2004,61,36,3,539,57,26,
2005,92,32,6,581,58,19,
2006,90,41,9,567,60,14,
2007,106,40,2,624,59,19,
2008,113,39,4,602,54,29,
2009,108,47,8,644,88,31,
2010,132,47,12,627,70,31,
2011,127,46,8,660,107,33,
2012,144,60,13,679,108,36,
2013,137,59,8,709,92,46,
2014,169,57,12,729,91,30,
2015,143,64,4,706,87,35,
