Year,C,B,T,H,O,N,
1984,566,670,46,5,9,2852,
1985,551,615,68,3,15,2464,
1986,490,544,39,4,12,1863,
1987,511,731,43,1,7,2455,
1988,606,734,59,9,16,2670,
1989,588,767,45,7,14,2385,
1990,596,822,48,6,14,2581,
1991,591,720,78,2,33,2455,
1992,635,805,90,3,26,2653,
1993,645,1166,56,4,10,2406,
1994,590,1196,50,9,22,2540,
1995,693,1200,67,7,24,2728,
1996,692,1148,62,4,26,2652,
1997,671,1331,108,7,34,2976,
1998,654,1161,84,8,44,2559,
1999,715,1318,120,13,44,3149,
2000,640,1151,99,1,59,2601,
2001,626,1093,110,11,63,2393,
2002,593,1036,150,6,67,2706,
2003,567,846,151,7,55,2624,
2004,536,679,127,9,73,2450,
2005,475,712,129,9,101,2587,
2006,523,744,160,6,106,2845,
2007,549,702,169,11,97,2665,
2008,555,755,139,10,70,2848,
2009,593,840,155,12,100,3009,
2010,576,704,153,7,95,2868,
2011,671,871,177,17,91,3208,
2012,687,883,181,14,114,3433,
2013,660,852,180,17,93,3341,
2014,734,962,215,13,134,3822,
2015,758,1000,178,21,155,3963,
