Year,C,B,T,H,O,N,
1984,12,4,0,12,99,6,
1985,17,8,2,5,135,6,
1986,13,7,0,7,107,5,
1987,15,7,4,10,79,7,
1988,20,6,0,13,98,10,
1989,18,15,0,9,81,13,
1990,18,14,1,15,91,7,
1991,42,31,5,11,148,27,
1992,28,16,3,14,99,16,
1993,28,10,0,13,88,8,
1994,27,7,1,13,77,16,
1995,29,10,0,21,75,12,
1996,25,7,1,22,94,10,
1997,36,10,1,10,83,21,
1998,39,10,0,17,72,16,
1999,30,15,0,21,67,13,
2000,39,11,0,16,54,15,
2001,38,15,0,20,83,23,
2002,55,27,4,19,77,20,
2003,38,38,3,26,50,24,
2004,49,30,7,20,109,50,
2005,62,66,20,28,186,61,
2006,77,88,15,18,203,71,
2007,89,73,10,36,191,78,
2008,82,77,13,29,231,64,
2009,88,90,17,37,258,76,
2010,99,97,18,37,315,68,
2011,107,106,12,49,350,118,
2012,109,138,16,58,413,137,
2013,120,98,14,52,314,82,
2014,112,96,14,47,309,103,
2015,110,133,19,42,272,92,
